strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
OPTIMIZER,280,,74,0,0,17,0,false,false
OPTIMIZER,290,,69,0,0,17,0,false,false
OPTIMIZER,283,,76,0,0,17,0,false,false
OPTIMIZER,306,,74,0,0,17,0,false,false
OPTIMIZER,277,,64,0,0,17,0,false,false
OPTIMIZER,274,,74,0,0,17,0,false,false
OPTIMIZER,277,,63,0,0,17,0,false,false
OPTIMIZER,303,,74,0,0,17,0,false,false
OPTIMIZER,308,,73,0,0,17,0,false,false
OPTIMIZER,317,,62,0,0,17,0,false,false
OPTIMIZER,306,,71,0,0,17,0,false,false
OPTIMIZER,287,,62,0,0,17,0,false,false
OPTIMIZER,276,,62,0,0,17,0,false,false
OPTIMIZER,310,,73,0,0,17,0,false,false
OPTIMIZER,277,,71,0,0,17,0,false,false
OPTIMIZER,290,,77,0,0,17,0,false,false
OPTIMIZER,299,,74,0,0,17,0,false,false
OPTIMIZER,292,,64,0,0,17,0,false,false
OPTIMIZER,318,,69,0,0,17,0,false,false
OPTIMIZER,255,,62,0,0,17,0,false,false
OPTIMIZER,300,,71,0,0,17,0,false,false
OPTIMIZER,275,,71,0,0,17,0,false,false
OPTIMIZER,267,,65,0,0,17,0,false,false
OPTIMIZER,289,,68,0,0,17,0,false,false
OPTIMIZER,337,,63,0,0,17,0,false,false
OPTIMIZER,288,,73,0,0,17,0,false,false
OPTIMIZER,280,,64,0,0,17,0,false,false
OPTIMIZER,293,,64,0,0,17,0,false,false
OPTIMIZER,316,,76,0,0,17,0,false,false
OPTIMIZER,280,,74,0,0,17,0,false,false
OPTIMIZER,312,,63,0,0,17,0,false,false
OPTIMIZER,327,,76,0,0,17,0,false,false
OPTIMIZER,291,,62,0,0,17,0,false,false
OPTIMIZER,316,,63,0,0,17,0,false,false
OPTIMIZER,260,,70,0,0,17,0,false,false
OPTIMIZER,284,,76,0,0,17,0,false,false
OPTIMIZER,281,,77,0,0,17,0,false,false
OPTIMIZER,266,,63,0,0,17,0,false,false
OPTIMIZER,252,,62,0,0,17,0,false,false
OPTIMIZER,289,,77,0,0,17,0,false,false
OPTIMIZER,291,,64,0,0,17,0,false,false
OPTIMIZER,281,,71,0,0,17,0,false,false
OPTIMIZER,262,,76,0,0,17,0,false,false
OPTIMIZER,316,,68,0,0,17,0,false,false
OPTIMIZER,293,,73,0,0,17,0,false,false
OPTIMIZER,291,,63,0,0,17,0,false,false
OPTIMIZER,277,,67,0,0,17,0,false,false
OPTIMIZER,299,,73,0,0,17,0,false,false
OPTIMIZER,305,,75,0,0,17,0,false,false
OPTIMIZER,285,,72,0,0,17,0,false,false
OPTIMIZER,275,,65,0,0,17,0,false,false
OPTIMIZER,264,,75,0,0,17,0,false,false
OPTIMIZER,276,,70,0,0,17,0,false,false
OPTIMIZER,264,,76,0,0,17,0,false,false
OPTIMIZER,266,,62,0,0,17,0,false,false
OPTIMIZER,288,,74,0,0,17,0,false,false
OPTIMIZER,265,,68,0,0,17,0,false,false
OPTIMIZER,278,,68,0,0,17,0,false,false
OPTIMIZER,259,,73,0,0,17,0,false,false
